trade_id,epic,signal_type,entry_time,exit_time,entry_price,exit_price,position_size,pnl_pips,pnl_currency,duration_minutes,status
T000003,CS.D.USDJPY.MINI.IP,BEAR,2025-05-23 08:35:00,2025-05-23 08:40:00,143.346,143.3308,1333.33,1.5199999999992997,20.266615999990663,5,CLOSED_WIN
T000005,CS.D.USDJPY.MINI.IP,BEAR,2025-05-23 08:50:00,2025-05-23 08:55:00,143.343,143.32539999999997,1336.04,1.7600000000015825,23.514304000021145,5,CLOSED_WIN
T000001,CS.D.USDJPY.MINI.IP,BEAR,2025-05-23 08:10:00,2025-05-23 09:20:00,143.282,143.21560000000002,1333.33,6.639999999998736,88.53311199998313,70,CLOSED_WIN
T000006,CS.D.EURUSD.MINI.IP,BULL,2025-05-23 10:10:00,2025-05-23 11:10:00,1.13571,1.13421,135097.52,-15.000000000000568,-202.64628000000766,60,CLOSED_LOSS
T000002,CS.D.EURUSD.MINI.IP,BULL,2025-05-23 08:35:00,2025-05-23 11:20:00,1.13411,1.1369225,133333.33,28.125000000001066,374.9999906250142,165,CLOSED_WIN
T000004,CS.D.EURUSD.MINI.IP,BULL,2025-05-23 08:50:00,2025-05-23 11:20:00,1.13401,1.1368225,133603.55,28.125000000001066,375.75998437501426,150,CLOSED_WIN
T000008,CS.D.EURUSD.MINI.IP,BULL,2025-05-23 10:35:00,2025-05-23 11:40:00,1.13516,1.13366,135097.52,-15.000000000000568,-202.64628000000766,65,CLOSED_LOSS
T000009,CS.D.EURUSD.MINI.IP,BULL,2025-05-23 11:15:00,2025-05-23 11:40:00,1.13553,1.1340299999999999,132395.57,-15.000000000000568,-198.59335500000753,25,CLOSED_LOSS
T000007,CS.D.GBPUSD.MINI.IP,BULL,2025-05-23 10:10:00,2025-05-23 11:50:00,1.34996,1.3480100000000002,103921.17,-19.499999999998963,-202.64628149998924,100,CLOSED_LOSS
T000011,CS.D.USDJPY.MINI.IP,BEAR,2025-05-23 14:50:00,2025-05-23 15:20:00,142.67,142.82,1343.54,-15.000000000000568,-201.53100000000762,30,CLOSED_LOSS
T000012,CS.D.GBPUSD.MINI.IP,BULL,2025-05-23 15:20:00,2025-05-23 17:30:00,1.34976,1.3526916845602492,101282.16,29.316845602491703,296.9273447006861,130,CLOSED_WIN
T000010,CS.D.EURUSD.MINI.IP,BULL,2025-05-23 14:40:00,2025-05-23 17:45:00,1.1337899999999999,1.1365180365935834,134353.89,27.280365935835604,366.5223284103005,185,CLOSED_WIN
T000013,CS.D.EURUSD.MINI.IP,BULL,2025-05-23 15:30:00,2025-05-23 18:10:00,1.1340199999999998,1.136705225484864,131666.81,26.85225484864162,353.55507372276753,160,CLOSED_WIN
T000015,CS.D.USDJPY.MINI.IP,BEAR,2025-05-23 16:10:00,2025-05-23 18:20:00,142.661,142.41234545454546,1316.67,24.865454545454213,327.395980363632,130,CLOSED_WIN
T000019,CS.D.USDJPY.MINI.IP,BEAR,2025-05-23 18:55:00,2025-05-23 19:00:00,142.52,142.4696,1495.92,5.039999999999623,75.39436799999436,5,CLOSED_WIN
T000014,CS.D.EURUSD.MINI.IP,BULL,2025-05-23 16:10:00,2025-05-25 20:00:00,1.1351099999999998,1.1356,131666.81,4.900000000001015,64.51673690001336,3110,CLOSED_BE
T000016,CS.D.USDJPY.MINI.IP,BEAR,2025-05-23 17:30:00,2025-05-25 20:00:00,142.604,142.442,1356.26,16.200000000000614,219.71412000000834,3030,CLOSED_BE
T000017,CS.D.GBPUSD.MINI.IP,BULL,2025-05-23 18:00:00,2025-05-25 20:00:00,1.35356,1.35173,108086.77,-18.299999999999983,-197.79878909999985,3000,CLOSED_BE
T000018,CS.D.GBPUSD.MINI.IP,BULL,2025-05-23 18:25:00,2025-05-25 20:00:00,1.3535000000000001,1.35173,115070.89,-17.700000000000493,-203.67547530000567,2975,CLOSED_BE
T000020,CS.D.EURUSD.MINI.IP,BULL,2025-05-23 19:00:00,2025-05-25 20:00:00,1.13655,1.1356,150597.41,-9.500000000000064,-143.06753950000098,2940,CLOSED_BE
T000023,CS.D.USDJPY.MINI.IP,BEAR,2025-05-25 20:20:00,2025-05-25 20:40:00,142.521,142.4714,1471.27,4.959999999999809,72.97499199999719,20,CLOSED_WIN
T000021,CS.D.USDJPY.MINI.IP,BEAR,2025-05-25 20:00:00,2025-05-25 22:00:00,142.442,142.592,1471.27,-15.000000000000568,-220.69050000000837,120,CLOSED_LOSS
T000024,CS.D.USDJPY.MINI.IP,BEAR,2025-05-25 20:40:00,2025-05-25 22:00:00,142.433,142.583,1481.0,-15.000000000000568,-222.15000000000842,80,CLOSED_LOSS
T000026,CS.D.USDJPY.MINI.IP,BEAR,2025-05-25 21:15:00,2025-05-25 22:00:00,142.45,142.6,1481.0,-15.000000000000568,-222.15000000000842,45,CLOSED_LOSS
T000022,CS.D.EURUSD.MINI.IP,BULL,2025-05-25 20:05:00,2025-05-26 00:20:00,1.13651,1.1388748286855108,147126.6,23.648286855109113,347.92920408168965,255,CLOSED_WIN
T000025,CS.D.EURUSD.MINI.IP,BULL,2025-05-25 21:00:00,2025-05-26 00:20:00,1.13634,1.1387219548197243,148099.6,23.819548197243634,352.7665560192504,200,CLOSED_WIN
